time, velocity, voltage, bl
2123, 0.0088399, 0.2954102, 33.4177551
2274, 0.0403916, 0.0048828, 0.1208869
3264, 0.0157078, 0.0097656, 0.6217043
3415, 0.0752083, 0.0073242, 0.0973858
3565, 0.1727864, 0.0097656, 0.0565185
3716, 0.0022791, 0.0317383, 13.9260234
3986, 0.0088399, 0.0073242, 0.8285420
4136, 0.0022440, 0.0170898, 7.6157937
4887, 0.0134639, 0.0146484, 1.0879809
5038, 0.1139520, 0.0415039, 0.3642227
5188, 0.1772742, 0.0195312, 0.1101753
5340, 0.1346386, 0.0195312, 0.1450642
5490, 0.3141569, 0.0268555, 0.0854843
7080, 0.1640909, 0.0268555, 0.1636622
7231, 0.2099479, 0.0048828, 0.0232573
7383, 0.1959975, 0.0024414, 0.0124563
7653, 0.0448795, 0.0317383, 0.7071881
7804, 0.0134638, 0.0219727, 1.6319837
9154, 0.1121989, 0.0634766, 0.5657503
9305, 0.1344634, 0.0317383, 0.2360366
9456, 0.1392287, 0.0073242, 0.0526057
9846, 0.0067319, 0.0024414, 0.3626630
9997, 0.0176798, 0.0048828, 0.2761807
11347, 0.1572537, 0.0244141, 0.1552526
11498, 0.1481025, 0.0024414, 0.0164846
11769, 0.2187878, 0.0488281, 0.2231757
11920, 0.0067319, 0.0097656, 1.4506521
13390, 0.0752083, 0.0219727, 0.2921572
13782, 0.1185102, 0.0024414, 0.0206008
13932, 0.2715213, 0.0366211, 0.1348737
14084, 0.0387436, 0.0024414, 0.0630144
14234, 0.0134639, 0.0048828, 0.3626600
15585, 0.1413706, 0.0659180, 0.4662777
15735, 0.1572538, 0.0244141, 0.1552526
15887, 0.1392287, 0.0195312, 0.1402818
16037, 0.2734848, 0.0268555, 0.0981973
16189, 0.0066300, 0.0097656, 1.4729448
16699, 0.0044199, 0.0146484, 3.3142104
16850, 0.0091161, 0.0024414, 0.2678116
17721, 0.1144429, 0.0292969, 0.2559957
17871, 0.1862502, 0.0122070, 0.0655410
18263, 0.0136743, 0.0366211, 2.6781041
19733, 0.0243098, 0.0219727, 0.9038614
19884, 0.1344634, 0.0415039, 0.3086633
20035, 0.1745883, 0.0146484, 0.0839027
20186, 0.1504167, 0.0244141, 0.1623095
20336, 0.2651973, 0.0317383, 0.1196780
20488, 0.0113952, 0.0024414, 0.2142487
21957, 0.1166869, 0.0170898, 0.1464590
22348, 0.1166869, 0.0048828, 0.0418454
22499, 0.2917171, 0.0244141, 0.0836909
22650, 0.0136743, 0.0048828, 0.3570806
22801, 0.0110499, 0.0048828, 0.4418879
24032, 0.0067319, 0.0024414, 0.3626604
24182, 0.1054670, 0.0415039, 0.3935252
24334, 0.1436486, 0.0268555, 0.1869525
24484, 0.1800441, 0.0048828, 0.0271201
24635, 0.2585674, 0.0537109, 0.2077251
24786, 0.0113953, 0.0073242, 0.6427395
24937, 0.0044880, 0.0146484, 3.2639117
25448, 0.0134638, 0.0048828, 0.3626630
26318, 0.1025568, 0.0390625, 0.3808865
26470, 0.1613284, 0.0268555, 0.1664646
26620, 0.1732070, 0.0024414, 0.0140953
26771, 0.2497275, 0.0073242, 0.0293288
27282, 0.0201958, 0.0048828, 0.2417740
28272, 0.0314157, 0.0122070, 0.3885647
28424, 0.1503465, 0.0073242, 0.0487156
28814, 0.2541476, 0.0146484, 0.0576375
28965, 0.0159533, 0.0048828, 0.3060687
29116, 0.0022100, 0.0073242, 3.3141257
29267, 0.0273485, 0.0024414, 0.0892701
29418, 0.0154699, 0.0244141, 1.5781665
29570, 0.0205113, 0.0048828, 0.2380544
30440, 0.1144429, 0.0170898, 0.1493308
30831, 0.1077110, 0.0024414, 0.0226663
30982, 0.2871591, 0.0488281, 0.1700386
31132, 0.0198898, 0.0146484, 0.7364807
32483, 0.0650754, 0.0073242, 0.1125498
32633, 0.1256628, 0.0390625, 0.3108518
32785, 0.1638104, 0.0097656, 0.0596154
32935, 0.1686490, 0.0048828, 0.0289525
33087, 0.2718273, 0.0366211, 0.1347219
33238, 0.0159533, 0.0170898, 1.0712404
33868, 0.0022440, 0.0195312, 8.7037639
34739, 0.1185101, 0.0146484, 0.1236050
35129, 0.1082889, 0.0122070, 0.1127265
35280, 0.3167867, 0.0390625, 0.1233085
36031, 0.0269275, 0.0122070, 0.4533288